open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_trades,buy_base_asset_volume,buy_quote_asset_volume
1508716800000,5975.0,6080.0,5860.01,5865.05,465.523533,1508745599999,2772995.87809762,3574,152.340265,909297.10264542
1508745600000,5865.03,5909.84,5621.03,5762.04,772.935997,1508774399999,4473725.15744955,4065,322.768072,1867040.90319528
1508774400000,5762.07,5969.98,5717.01,5915.93,574.098185,1508803199999,3360469.94517978,3097,258.682742,1516633.66818163
1508803200000,5909.47,5925.0,5482.22,5721.83,1171.187541,1508831999999,6639218.86534368,5112,477.344921,2700423.00573694
1508832000000,5721.83,5740.97,5563.11,5637.96,705.781238,1508860799999,3984625.2469846,3886,324.975851,1835366.55136976
1508860800000,5635.02,5719.03,5450.0,5477.03,703.449988,1508889599999,3940651.73823204,4077,326.505345,1833718.66404102
1508889600000,5506.92,5550.0,5286.98,5541.51,872.22204,1508918399999,4738997.62407152,4470,378.093068,2057043.31117372
1508918400000,5532.02,5650.0,5375.0,5456.11,755.712012,1508947199999,4157103.33410684,3908,377.37703,2080780.9709401
1508947200000,5430.22,5704.96,5430.0,5689.99,654.879153,1508975999999,3648746.93336365,3648,346.621228,1935006.9195335
1508976000000,5670.1,5735.02,5650.0,5669.13,690.916944,1509004799999,3931284.13112826,4022,241.827034,1377208.80361883
1509004800000,5669.17,5939.99,5656.19,5918.99,731.222626,1509033599999,4255062.15981648,4266,339.573275,1981680.88417614
1509033600000,5918.92,5938.58,5757.0,5861.77,550.826312,1509062399999,3230780.34508087,3141,198.339688,1165786.91407452
1509062400000,5861.77,5980.0,5770.23,5874.49,476.555744,1509091199999,2806177.46531508,2910,209.12546,1234641.32367692
1509091200000,5874.43,5928.97,5711.22,5771.01,470.011755,1509119999999,2734732.58519149,2631,217.378499,1267773.24901764
1509120000000,5771.01,5812.03,5649.24,5768.83,457.138917,1509148799999,2626159.68584374,2764,197.58345,1137111.17207209
1509148800000,5768.79,5850.02,5726.87,5781.01,338.440031,1509177599999,1955527.93837647,2497,124.192564,719052.68185178
1509177600000,5781.02,5790.1,5630.03,5669.97,486.797647,1509206399999,2776584.24847723,3069,226.801148,1293562.08180553
1509206400000,5669.97,5733.03,5665.01,5719.64,451.516734,1509235199999,2575963.83225814,2990,171.443416,979848.52463654
1509235200000,5709.98,5815.84,5648.01,5799.99,452.797286,1509263999999,2592988.34917838,2830,261.308289,1495174.67372108
1509264000000,5790.11,5988.0,5730.0,5949.01,609.868882,1509292799999,3533791.36862516,3606,336.98765,1955189.01038014
1509292800000,5949.01,6189.88,5889.85,6169.98,742.112005,1509321599999,4494187.90678814,4215,355.874257,2156978.028966
1509321600000,6133.01,6172.0,6075.5,6116.19,537.511242,1509350399999,3290014.7454532,3514,212.889922,1304680.14317557
1509350400000,6123.3,6248.68,6030.0,6070.98,558.406529,1509379199999,3437530.00122673,3130,210.288804,1294823.66346199
1509379200000,6071.95,6146.86,6055.56,6120.5,377.769272,1509407999999,2302674.54005506,2383,144.954244,884967.1620766
1509408000000,6120.52,6172.18,6100.0,6117.94,310.979489,1509436799999,1910024.62642202,2471,119.175854,732535.12119571
1509436800000,6117.94,6420.0,6100.04,6371.28,598.545189,1509465599999,3742638.74786789,5365,279.395487,1746986.43360153
1509465600000,6371.28,6498.01,6319.69,6463.0,602.250247,1509494399999,3834977.46580919,4667,268.192227,1709623.31125219
1509494400000,6463.0,6473.88,6338.02,6415.0,414.710863,1509523199999,2660209.49154405,4430,163.475101,1048592.58195374
